type,stencil,mesh size,time,unit
tensor,box2d2r,10240,512.26,us
tensor,star2d2r,10240,441.98,us
tensor,box2d1r,10240,378.75,us
tensor,star2d1r,10240,307.52,us
tensor,box2d2r,160,5.38,us
tensor,box2d2r,320,6.05,us
tensor,box2d2r,640,7.90,us
tensor,box2d2r,1280,14.14,us
tensor,box2d2r,1920,25.12,us
tensor,box2d2r,2560,39.33,us
tensor,box2d2r,3200,57.66,us
tensor,box2d2r,3840,79.07,us
tensor,box2d2r,4480,104.93,us
tensor,box2d2r,5120,134.88,us
tensor,box2d2r,5760,166.37,us
tensor,box2d2r,6400,206.59,us
tensor,box2d2r,7040,245.82,us
tensor,box2d2r,7680,290.08,us
tensor,box2d2r,8320,340.10,us
tensor,box2d2r,8960,390.75,us
tensor,box2d2r,9600,448.16,us
tensor,box2d1r,160,5.25,us
tensor,box2d1r,320,5.73,us
tensor,box2d1r,640,7.30,us
tensor,box2d1r,1280,12.19,us
tensor,box2d1r,1920,20.13,us
tensor,box2d1r,2560,30.66,us
tensor,box2d1r,3200,44.51,us
tensor,box2d1r,3840,60.74,us
tensor,box2d1r,4480,79.90,us
tensor,box2d1r,5120,101.57,us
tensor,box2d1r,5760,126.59,us
tensor,box2d1r,6400,153.76,us
tensor,box2d1r,7040,183.87,us
tensor,box2d1r,7680,217.60,us
tensor,box2d1r,8320,254.02,us
tensor,box2d1r,8960,292.10,us
tensor,box2d1r,9600,333.12,us
